City,Graduation Date,Work Experience 1,Work Experience 2,Work Experience 3,Skills,Athletics,Awards/Certifications,Extracurriculars 1,Extracurriculars 2,Volunteer Work,Member Groups
New York City,19-Jul,"Supervisor
UNIQLO
May 2016 to Present
• Manage a 40-person staff, with full accountability for scheduling, assignments, performance management & coaching  
• Provide assistance in monitoring employee performance appraisal process  
• Generate sales reports, analyze results against budget goals, and design new sales strategies to exceed corporate   
expectations  
• Review, analyze and audit payroll reports for accuracy and make necessary time and attendance adjustments through   
ADP","Sales Associate
UNIQLO
November 2014 to April 2016
• Exceeded sales goals throughout tenure as sales associate  
• Provided exceptional customer service in every aspect of the role  
• Facilitated sales, intuitively communicating with customers, competently responding to inquiries, and making   
recommendations based on individual preferences","Office Assistant
BEST MEDICAL CARE, P.C -  Queens, NY
May 2012 to July 2012
•Facilitated the practice’s transition from paper patient records to a state-of-the-art electronic medical records systems 
• Assisted in employee training and executed various back office functions for a high-volume medical practice  
• Prepared patient files, processed large amount of daily data, and assisted with physician and staff scheduling","Customer service, Training, Strategic planning, Office administration, Recruiting, ADP, Employee Relation, Hr Assistant, Human Resource, Urdu",,,,,,
New York City,19-May,"Front Desk Agent
Fairfield Inn by Marriott JFK Airport -  Jamaica, NY
June 2019 to Present
• Proficient in hospitality management and customer service  
• Excels in Marriott's Fosse PMS system  
• Achieved a high level of client satisfaction  
• Efficiently dealt with check-in and check-out of guests  
• Experience with advanced reservations and bookings on the phone & in person  
• Posted all transactions and prepared deposit for bank delivery","Senior Coordinator
Leadership and Student Personnel -  Stony Brook, NY
October 2018 to Present
• Assist the Assistant Director with recruiting, hiring, and training all operations student employees  
• Supervise daily operations students employees during facility operation hours  
• Develop strategic plans and goals staff development  
• Enforce policies and procedures for all employees and university patrons  
• Assist with the organization and completion of Human Resource employment paperwork","Active Member
Center for Prevention and Outreach -  Stony Brook, NY
August 2017 to May 2019
Certified Red Watch Band (alcohol/substance abuse), Green Dot (bystander intervention), QPR (suicide prevention)
Social Justice League -  Stony Brook, NY
September 2018 to February 2019
• Enhanced skills in diversity, social justice, and leadership  
• Developed necessary tools to learn and live in a diverse environment and work for the betterment of the broader community  
• Participated in multiple roundtable discussions aimed at targeting different topics in diversity and inclusion","Microsoft Applications (Excel, Word & PowerPoint), Google Drive, Communication, Management, Event Planning, Networking
",,,,,,
New York City,20-May,"Junior Manager
Negril Bk -  Brooklyn, NY
December 2018 to Present
• Coordinate with host/hostess with daily reservation's and night events scheduled.  
• Lead Pre-shifts & Closing for night server's working the floor positions.  
• Train and onboard staff, in various position.  
• Complete daily/nightly sales sheet.  
• Inventory","Operational/Payroll Manager
Trelawni Place Seafood Bar & Grill -  Brooklyn, NY
October 2017 to December 2018
• Overseas the dining area, supervises food and beverage service, staff in accordance with operating policies that may help run daily operations.  
• Ensures product quality and great service, shows enthusiasm about guest within the restaurant.  
• Prepares reports by compiling summaries of earnings, taxes, deductions, leave, disability, and nontaxable wages.  
• Maintains employee confidence and protects payroll operations by keeping information confidential. Contributes to team effort by accomplishing related results as needed.","D.O.E/ Middle School College Advisor
Sports and Arts in Schools Foundation -  Queens, NY
September 2016 to September 2017
• Facilitate leadership sessions and serve as college access advisor. Facilitate workshops for youth and families on college access programming  
• Maintain and develop relationships with college admissions counselors, guidance counselors and offices. Organize college trips and other agency-wide trips.  
• Visit NYC college campuses as well as out of state campuses.","Communication/Networking, Management/ Event Planning, Human Resource Services, Microsoft Office, Excel, PowerPoint & Prezi Presentation",,,,,,
New York City,19-Jun,"Business Development Associate
Woxforce Inc -  Cranford, NJ
July 2019 to Present
• Analyze the marketing data and sources from websites and social media  
• Follow up with potential clients to further engage business opportunities by phone calls, emails and meetings  
• Collect information and analyze the requests from client to deliver reasonable pricing plans","President
UNIVERSITY AT BUFFALO TAIWANESE STUDENT ASSOCIATION -  Buffalo, NY
August 2016 to May 2019
• Organized and lead bi-weekly general information meetings for team of 30  
• Communicated with other Student Government Association Representatives to keep up with activities of other clubs. 
• Worked with Treasurer to create and balance club budget sheet  
• Recruited new members by hosting meetings, planning events, and fundraising to support events and other expenses","Program Designer / Recruiter
Pouhsin Cambridge Examination Center, Taichung -  TW
June 2018 to August 2018
• Managed the full recruiting process, such as sourcing, screening and interviewing candidates  
• Designed effective training programs and courses for newly joined employees in order to help them adapt into new  
environment  
• Enhanced the systems for employee development, performance evaluation  
• Summarized and evaluated employee performances and conducted mandatory training for improvement","Excel, Adobe, Tracksheet, Word, PowerPoint, Access, Account Management, Receptionist, Sales",,,,,,
New York City,19-Dec,"Shift Leader & Trainer
Miller's Ale House
June 2014 to Present
* Train new hires as needed on providing exceptional guest experience, safety procedures, and proper food handling  
* Provided feedback to management staff on trainee progression and feedback to trainee for improvement  
* Achieved daily sales goals and promotion sign-ups while maintaining 8-table station during high volume  
* Address guest inquiries and resolved guest conflicts to prevent escalation to management  
* Supervised shift, paying special attention to lead ticket times for bar & food, assigned end of shift tasks, and handed in daily shift reports to the manager","Certified Trainer
Outback Steakhouse
February 2013 to July 2015
* Train new hires on phone etiquette, efficient multitasking, dining room rotation sheets and floor plan setup, accurate wait listing and guest quote times  
* Provided feedback to management staff on trainee progression and feedback to trainee for improvement  
* Coordinated with wait staff to reduce guest wait times and increase table turnover  
* Address guest inquiries and resolved guest conflicts to prevent escalation to management  
* Screened incoming calls for management staff","Bartender
SSP America Stadium Club JFK
July 2011 to March 2013
* Crafted Specialty Cocktails for airport guests  
* Helped management implement server floor plan seating to provide quick and efficient service to guests in a high-volume environment  
* Performed closing duties, inventory restocking, and maintained bar draw","Microsoft Office, Microsoft Excel, Microsoft PowerPoint, Microsoft Outlook, Detail Oriented, Training, Virtual & In-person Teamwork, Communication, Leadership, Shift Lead, Customer Service",,,,,,
New York City,19-Dec,"Shift Leader & Trainer
Miller's Ale House
June 2014 to Present
* Train new hires as needed on providing exceptional guest experience, safety procedures, and proper food handling  
* Provided feedback to management staff on trainee progression and feedback to trainee for improvement  
* Achieved daily sales goals and promotion sign-ups while maintaining 8-table station during high volume  
* Address guest inquiries and resolved guest conflicts to prevent escalation to management  
* Supervise shift, paying special attention to lead ticket times for bar & food, assigned end of shift tasks, and handed in daily shift reports to the manager","Certified Trainer
Outback Steakhouse
February 2013 to July 2015
* Train new hires on phone etiquette, efficient multitasking, dining room rotation sheets and floor plan setup, accurate wait listing and guest quote times  
* Provided feedback to management staff on trainee progression and feedback to trainee for improvement  
* Coordinated with wait staff to reduce guest wait times and increase table turnover  
* Address guest inquiries and resolved guest conflicts to prevent escalation to management  
* Screened incoming calls for management staff","Bartender
SSP America Stadium Club JFK
July 2011 to March 2013
* Crafted Specialty Cocktails for airport guests  
* Helped management implement server floor plan seating to provide quick and efficient service to guests in a high-volume environment  
* Performed closing duties, inventory restocking, and maintained bar draw","Microsoft Office: Excel, PowerPoint, Outlook, Detail Oriented, Training, Virtual & In-person Teamwork, Communication, Leadership",,,,,,
New York City,19-Jun,"Sales Associate
Louis Vuitton -  Westchester County, NY
October 2018 to February 2019
• Demonstrate creative problem solving selling skills to maintain a solutions-oriented focus.  
• Promote a strong sense of teamwork by working together effectively, respectfully and efficiently with all associates.  
• Actively engage customers and remain attentive to customer needs, assist customers with merchandising selections and provide gracious and efficient service.  
• Operating cash registers, managing financial transactions, achieving established goals.  
• Maintain an awareness of current advertising, promotions and catalogs as well as the status of merchandise.  
• Model company standards in customer service by providing gracious, quick and efficient service.  
• Maintain floor coverage; follow posted schedules with regard to counter assignments.  
• Support the management team in leadership, training and promotion of teamwork throughout the sales floor and stockroom.  
• Providing service to designers, dealing with a diverse and elevated clientele.","Department of Otolaryngology, Senior Patient Coordinator
WEILL CORNELL MEDICINE -  New York, NY
February 2014 to August 2017
Surgical Coordinator  
  
• Organized, prioritized, and distributed work, including EPIC patient entry, assisted in the daily supervision of activities and clinical administrative staff.  
• Obtained detailed information and returned any messages prior to close of business, screened telephone calls, and answered routine questions about the practice, health insurance coverage and or billing procedures.  
• Served as a member of the hiring and training committee panel which included the facilitation and orientation of new employees in review of office policies and procedures.  
• Coordinated sales and business meetings, served as a liaison between patients, staff, vendors and on-site physicians.  
• Updated quarterly manuals and introduced new strategies which led to increased patient volume.  
• Verified patient eligibility, scheduled appointments for patients, registered new patients in IDX web, and ensured referrals are in order for patients, coordinated paper flow for patient charts.  
• Accountable for surgery schedules, patient exams, maintained and updated current information on physician's computerized surgery schedule.  
• Ensured that departmental standards for call abandonment are maintained while successfully managing provider's schedules.  
• Recommended and implemented improvements in procedures to ensure fluid functioning of patient services including patient resolutions and staff scheduling.","Human Resources Assistant, Customer Service Representative
DEPARTMENT OF EDUCATION -  Brooklyn, NY
January 2007 to December 2012
• Responsible for addressing Human Resource related inquiries from all DOE employees, and provided support for applicants and employees with data changes, fingerprinting and all new hire on boarding paperwork.  
• Performed thorough employment verifications, supported the Benefits departments, and ensured all new and existing employees are up to date with benefits, information, processedI9 forms, compliance and background check reporting. 
• Addressed associate concerns, eased and empathized with a variety of situations. Researched appropriate department guidelines to ensure proper direction and answers was provided.  
• Assisted in resolving payroll inquiries, verified health insurance benefits enrollment, provided accurate tax forms, updated on file.  
• Prepared, transcribed, composed, edited and distributed agendas for HR Connect while providing office support duties.  
• Maintained a professional environment when handling a high volume of inbound calls within a dynamic call center environment.","Adobe Creative Cloud, Tracksheet, Excel, Word, PowerPoint, Access, Account Management, Receptionist, Customer Service, Sales Experience",,,,,,
New York City,19-May,"Recruiting Intern
Cayuga Medical Center
August 2018 to May 2019
Managed end-to-end physician, physician assistant, and nurse practitioner recruitment across 4 databases including Practice  
Link, Practice Match, Doximity and LinkedIn, posting over 15 jobs weekly, with a 20% conversion rate  
● Extracted 200 applicant records from hospital database and input into newly implemented Applicant Tracking System, identifying over 50 candidates for hiring manager review  
● Coordinated phone screens, travel, and itineraries for 8-hour site visits for 15 candidate a month  
● Participated in bi-weekly Senior Leadership Team meetings with the CEO, taking notes on departmental budgeting and healthcare financial operations","Elected Senior Class Council Member
Queen Strength Club
August 2018 to May 2019
Vice President, Queen Strength Club (April 16- May 2019)","French Teachers Assistant
Department of Modern Languages
February 2016 to May 2019
● Planned instruction for, and delivered, a weekly lesson plan for 15 students in intermediate university-level French,  
● Researched and adopted evidence-based language instruction methodologies like Accelerative Integrated Method (AIM)  
and Communicative Language Teaching (CLT)  
● Ensured students achieved learning objectives and demonstrated proficiency to advance, with a 100% student pass rate over  
7 semesters","
Interviewing, Human Resource, Microsoft Office, Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Analytics, Taleo",,,,,,
New York City,19-May,"Recruiter
Aerotek -  Parsippany, NJ
June 2019 to Present
• Recruiter for the Energy, Engineering and Construction division  
• Identify qualified candidates through various recruiting and sourcing tools  
• Screen and interview qualified candidates  
• Partner with my Account Manager to identify top accounts, target skill sets, and key market segments  
• Build and maintain relationships with industry contacts to gain knowledge, generate referrals and leads  
• Perform various customer service related activities managing multiple contractors at one time","Sales / Marketing
Fretto Industrial Cleaning -  Troy, NY
November 2017 to June 2019
• Attended pre-bid meetings to analyze scope of work and used the construction documents to accurately estimate expenses (time, labor, and materials) per job  
• Communicated with GC's, subcontractors, project managers, superintendents and owners' reps to handle all RFPs, RFIs, Change Orders, Submittals to submit quotes, bid packages, and proposals  
• Executed business development by generating leads and turning them into a working relationship with firms to become preferred subcontractor  
• Developed marketing campaigns to promote services and establish the brand through website and social media outlets  
• Created capacity planning, scheduling, expenses tracking, estimating and cash flow projection spreadsheets in Microsoft Excel","Treasurer/Vice President
Siena College Entrepreneurship Organization -  Loudonville, NY
September 2015 to May 2019
• Elected to leadership role as a freshman, in charge of budgeting expenses and planning finances  
• Communicate regarding new initiatives during weekly meetings and contribute to goals of The Stack Center  
• Manage meeting logistics including scheduling, events and food/beverage orders","Bloomberg Certified, Autotask, Microsoft Office Suite, Quick Learner, Communication, Networking",,,,,,
New York City,19-May,"Staffing Coordinator Supervisor / Office Manager
MarciaSDupree@yahoo.com -  Rye, NY
August 2014 to Present
August 2014 - Present",,,"Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
New York City,19-Jun,"Sales Associate
IStore -  Jamaica, NY
February 2017 to Present
• Maintained organized, presentable merchandise to drive continuous sales  
• Trained and developed new sales team associates in products, selling techniques and company procedures  
• Worked alongside retail representatives to boost sales by enhancing product presentations and advertising collateral  
• Organized racks and shelves to maintain store visual appeal, engage customers and promote specific merchandise  
• Analyzed and properly processed product returns, assisting customers with finding alternative merchandise to meet needs  
• Implemented up-selling strategies such as recommending accessories and complementary purchases to boost revenue  
• Prepared merchandise for sales floor by pricing or tagging  
• Engaged with customers to effectively build rapport and lasting relationships  
• Evaluated inventory and delivery needs, optimizing strategies to meet customer demands","Teller
TD Bank -  Richmond Hill, NY
March 2015 to June 2016
• Sold cashier's checks, traveler's checks and money orders  
• Collected member loan payments  
• Performed customer transactions for money orders, cashiers checks, deposits and withdrawals  
• Maintained teller drawer to perform bank transactions  
• Handled various accounting transactions  
• Executed wire transfers, stop payments and account transfers  
• Maintained friendly and professional customer interactions  
• Organized, stocked and maintained teller window area  
• Promoted products or services to each customer to consistently achieve sales targets  
• Checked amount details and fraud markers for transaction papers such as checks and money orders  
• Provided high level of customer service through friendly approach, strong professionalism and timely assistance with customer transactions","Sales Representative/ Trainer
Fauma -  Queens, NY
March 2014 to February 2015
• Set up appointments with potential and current customers to discuss new products and services  
• Implemented marketing strategies and techniques, increasing revenue and customer satisfaction  
• Developed and implemented sales strategies to increase revenue  
• Monitored weekly sales to write reports for senior leadership and streamline operational processes  
• Upsold and closed customer sales by driving product benefits around client needs and increased revenue from $[Number] to $[Number] in [Timeframe]","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
